Wall time,Step,Value
1622530090.538017,1846958,-120.00617980957031
1622530329.4301095,1854109,-120.51040649414062
1622530370.438726,1855378,-120.12274169921875
1622530378.0829477,1855614,-119.07066345214844
1622530537.3462892,1860522,-121.2440185546875
1622530574.3893914,1861451,-119.8305435180664
1622530600.1979997,1862250,-119.77233123779297
1622530649.6494215,1863768,-120.1630859375
1622530790.0507677,1868032,-120.61504364013672
1622531159.7083955,1879045,-120.00116729736328
1622531633.2904756,1893120,-119.7497787475586
1622531715.4710581,1895667,-119.97561645507812
1622531788.6120758,1897933,-120.41398620605469
1622532153.2720568,1908785,-120.42659759521484
1622532347.8989763,1914796,-121.02085876464844
1622532985.991966,1933877,-120.5119857788086
1622533010.9254355,1934648,-121.43409729003906
1622533222.106803,1940931,-121.23048400878906
1622533409.9976103,1946723,-120.37371826171875
1622533505.670833,1949454,-120.58341979980469
1622533553.3498669,1950936,-120.49449920654297
1622533735.6919348,1956340,-120.89173889160156
1622533737.7453904,1956403,-120.83505249023438
1622534007.3452413,1964406,-121.25804138183594
1622534205.661462,1970227,-121.00824737548828
1622534219.7187297,1970651,-121.70806884765625
1622534350.441538,1974612,-121.422607421875
1622534532.006252,1980013,-121.0613784790039
1622534713.7299848,1985643,-122.21136474609375
1622534875.161781,1990439,-120.7446060180664
1622534920.6452188,1991827,-121.38543701171875
1622534928.1023629,1992053,-120.96826171875
1622534930.7123601,1992132,-120.80812072753906
1622534963.4495025,1993137,-121.45210266113281
1622535015.4411619,1994519,-121.3319091796875
1622535016.5695558,1994553,-121.4166488647461
1622535189.7054975,1999859,-121.25718688964844
1622535189.8338962,1999863,-121.12969970703125
1622535512.2935896,2009603,-120.61309051513672
1622535878.8517387,2020530,-121.28987884521484
1622536283.1081982,2032869,-121.32543182373047
1622536509.3375332,2039661,-121.11100769042969
1622536542.2046986,2040679,-121.58890533447266
1622536545.873627,2040793,-120.92489624023438
1622536678.029495,2044670,-122.061767578125
1622536692.8257275,2045127,-120.45579528808594
1622536746.674011,2046796,-120.94216918945312
1622537163.8862908,2059543,-121.78300476074219
1622537330.0212607,2064482,-121.4590835571289
1622537570.3535428,2071760,-121.11634826660156
1622537743.1614625,2077119,-121.6204833984375
1622538092.197831,2087528,-121.62700653076172
1622538099.752344,2087762,-122.3426742553711
1622538120.9701693,2088422,-121.78007507324219
1622538155.7885015,2089501,-122.3492202758789
1622538250.020803,2092425,-121.47550964355469
1622538286.2066753,2093547,-121.95657348632812
1622538453.4999595,2098519,-121.63055419921875
1622538570.5459166,2102150,-121.27217864990234
1622538665.3687363,2104881,-121.48550415039062
1622538899.4781733,2112160,-121.56346893310547
1622538963.781477,2113941,-121.85105895996094
1622539145.9005895,2119603,-122.00718688964844
1622539666.1207206,2135330,-121.80921936035156
1622539862.5332563,2141217,-122.0255126953125
1622540182.3985827,2150924,-122.53219604492188
1622540259.9730842,2153335,-121.86430358886719
1622540296.927962,2154487,-122.87420654296875
1622540438.1749222,2158655,-122.45870208740234
1622540491.6170073,2160318,-121.56419372558594
1622540676.3410933,2165852,-121.4981460571289
1622540696.1907434,2166470,-122.48636627197266
1622540794.4461038,2169526,-121.94859313964844
1622540923.853933,2173330,-121.5343017578125
1622541078.2534745,2178123,-121.91093444824219
1622541157.796931,2180593,-123.07907104492188
1622541525.8935747,2191608,-122.23461151123047
1622541747.4576058,2198470,-123.11260986328125
1622541869.0899508,2202032,-123.27960968017578
1622541872.2133358,2202129,-122.80799102783203
1622541995.4020133,2205942,-123.26753234863281
1622542657.6740189,2225626,-123.80722045898438
1622542796.481802,2229698,-123.19387817382812
1622542809.9646935,2230107,-123.79521179199219
1622543364.1731606,2246756,-123.46424865722656
1622543464.6449637,2249660,-123.74147033691406
1622543870.7812705,2261988,-121.91759490966797
1622543944.2691677,2264252,-122.65599822998047
1622543971.4459872,2265084,-123.28044891357422
1622544547.8021202,2282356,-123.23934173583984
1622545111.2528799,2299258,-123.81890106201172
1622545231.6409671,2302769,-123.11048889160156
1622545502.1339736,2310811,-124.37579345703125
1622545977.269194,2325239,-124.39067077636719
1622546006.4816437,2326132,-124.99234008789062
1622546022.4294207,2326623,-123.96208190917969
1622546058.6925433,2327743,-123.99471282958984
1622546075.4624245,2328049,-123.88636779785156
1622546432.7761824,2338819,-124.24200439453125
1622546803.4096217,2349888,-124.47076416015625
1622546836.6740882,2350906,-124.79725646972656
1622546945.6323748,2354057,-124.31890869140625
1622547523.8850298,2371464,-124.33356475830078
1622547673.0606582,2375830,-124.25167846679688
1622547694.8975582,2376505,-123.49333190917969
1622547855.881387,2381390,-124.41356658935547
1622548043.8421972,2386874,-125.13040924072266
1622548110.8939784,2388941,-123.93006134033203
1622548198.7832575,2391647,-123.85523986816406
1622548204.6210287,2391828,-124.71109008789062
1622548365.925133,2396570,-125.22000122070312
1622548378.9179714,2396968,-124.08467102050781
1622548787.8950682,2409298,-125.0318603515625
1622548849.2708786,2411163,-124.75900268554688
1622549086.5374858,2418189,-124.34053039550781
1622549164.28916,2420572,-123.90316772460938
1622549300.4483056,2424557,-125.79798889160156
1622549490.9083734,2430202,-123.76828002929688
1622549597.2736804,2433478,-124.24627685546875
1622549645.2125247,2434950,-124.09815216064453
1622549806.3036492,2439685,-123.7342300415039
1622549849.4252079,2441010,-124.57225036621094
1622550051.0006258,2446992,-124.3635482788086
1622550141.1541295,2449724,-124.67467498779297
1622550308.8656628,2454642,-123.5743179321289
1622550360.0694444,2456187,-122.83104705810547
1622550432.105448,2458352,-124.44876098632812
1622551006.1274562,2475574,-123.92618560791016
1622551040.419736,2476617,-123.77000427246094
1622551093.0455117,2478223,-125.0156478881836
1622551113.177673,2478840,-123.7055892944336
1622551325.8392258,2485112,-124.01782989501953
1622551472.6345336,2489415,-124.87369537353516
1622551666.2173958,2495361,-124.67161560058594
1622551928.3471134,2503193,-123.52091979980469
1622551987.035243,2504987,-124.64836883544922
1622552142.9853435,2509546,-125.19683837890625
1622552248.8177814,2512800,-125.58241271972656
1622552408.941748,2517540,-124.31787109375
1622553066.485965,2537386,-124.81290435791016
1622553111.6621094,2538778,-124.85943603515625
1622553180.2186177,2540682,-124.44189453125
1622553282.2985542,2543836,-125.28600311279297
1622553334.910308,2545455,-124.96602630615234
1622553402.0887372,2547542,-124.2291030883789
1622553536.3376038,2551479,-124.78508758544922
1622554025.2424085,2566355,-123.9942398071289
1622554414.7261019,2577980,-124.18689727783203
1622554763.5897958,2588550,-124.82939147949219
1622554821.0091383,2590299,-125.38565063476562
1622555043.3929615,2596863,-125.04515075683594
1622555050.2389898,2597072,-124.66094970703125
1622555174.288869,2600892,-124.99372863769531
1622555211.016952,2602025,-125.16167449951172
1622555546.405817,2611812,-124.30293273925781
1622555557.7336507,2612154,-125.4846420288086
1622555959.3616543,2624201,-125.33818817138672
1622556573.1669648,2642579,-125.77312469482422
1622556578.7682688,2642745,-125.3335189819336
1622556741.793928,2647454,-125.43248748779297
1622556787.2332442,2648861,-125.36236572265625
1622556794.9656534,2649100,-124.58934020996094
1622556997.862893,2655051,-124.64347839355469
1622557015.9341493,2655605,-124.89822387695312
1622557252.1074467,2662782,-124.47361755371094
1622557258.3810856,2662973,-124.66020202636719
1622557293.5409544,2664019,-125.03022766113281
1622557539.0784361,2671285,-125.32481384277344
1622557610.7594614,2673496,-125.123291015625
1622557762.9671488,2677965,-125.51438903808594
1622557871.9948115,2681303,-124.68130493164062
1622557986.2624128,2684615,-125.28125
1622558151.1088233,2689625,-124.58464813232422
1622558772.9786093,2708427,-126.3251724243164
1622558841.6694138,2710552,-126.17913818359375
1622558891.346137,2711949,-125.21528625488281
1622558925.586151,2713004,-125.21117401123047
1622558943.8372207,2713568,-125.94313049316406
1622559163.3850784,2720342,-126.06916809082031
1622559293.7859356,2724164,-125.61067199707031
1622559422.6002278,2728123,-125.26109313964844
1622559560.7563457,2732192,-125.16990661621094
1622559663.9363163,2735358,-125.83960723876953
1622559817.0136094,2739870,-125.90223693847656
1622559847.0429385,2740795,-124.53697967529297
1622559893.4580226,2742227,-126.10572814941406
1622559921.3809214,2743092,-125.90287017822266
1622559938.2863138,2743613,-125.21605682373047
1622559962.8407962,2744371,-125.23271942138672
1622560041.9225125,2746820,-126.01334381103516
1622560329.0736423,2755474,-125.8488998413086
1622560510.9745908,2760890,-125.5347900390625
1622560632.089581,2764626,-125.9122543334961
1622561144.5448942,2780028,-125.72029876708984
1622561196.9485388,2781642,-125.27398681640625
1622561260.0976195,2783385,-125.41703796386719
1622561638.2052352,2794825,-126.18843841552734
1622561718.2954092,2797297,-126.15314483642578
1622561725.3053946,2797513,-125.22126770019531
1622561745.8629014,2798142,-125.42118835449219
1622561826.522045,2800421,-125.14774322509766
1622561908.4424064,2802956,-125.49079132080078
1622561969.3864286,2804830,-126.11649322509766
1622562006.2819319,2805964,-126.02653503417969
1622562072.6652439,2807798,-125.18055725097656
1622562112.7340155,2809035,-125.36978149414062
1622562412.5610888,2818074,-125.31936645507812
1622562517.6133723,2821312,-125.34134674072266
1622562604.3096135,2823968,-125.98167419433594
1622562671.3847191,2825833,-125.41625213623047
1622562724.49069,2827464,-126.26388549804688
1622562918.9849238,2833454,-125.65758514404297
1622563451.7851934,2849448,-125.3259506225586
1622563493.9822712,2850540,-125.59327697753906
1622563641.5609858,2855088,-125.44524383544922
1622563862.7008934,2861729,-125.4469985961914
1622563871.7950163,2862003,-125.44482421875
1622563898.3015537,2862821,-124.8587417602539
1622564245.4027348,2873320,-125.2252197265625
1622565073.2999504,2898358,-126.03440856933594
1622565122.787028,2899694,-126.16798400878906
1622565322.7440624,2905845,-125.07498931884766
1622565391.6137078,2907803,-125.23101806640625
1622565574.6313093,2913454,-125.58757019042969
1622565582.2262428,2913689,-124.69574737548828
1622566136.5494084,2930359,-125.3797836303711
1622566341.852199,2936500,-125.47941589355469
1622566369.6689546,2937363,-125.62959289550781
1622566485.0742638,2940904,-125.36087036132812
1622566656.9148428,2945978,-125.34873962402344
1622566837.6775184,2951345,-125.57109069824219
1622567045.8099546,2957768,-124.70858001708984
1622567218.0007405,2962869,-126.66206359863281
1622567745.3242617,2978700,-125.460205078125
1622567794.3825037,2980223,-125.40937042236328
1622567913.573708,2983906,-125.10795593261719
1622568030.1970105,2987303,-125.22998046875
1622568046.092727,2987794,-126.18783569335938
1622568324.2984798,2996192,-125.77998352050781
1622568564.0340478,3003359,-125.83796691894531
1622568645.2380478,3005863,-125.41796112060547
1622568769.2513175,3009466,-126.04806518554688
1622568815.1217375,3010889,-125.67274475097656
1622568828.6096258,3011304,-126.24024963378906
1622568851.113818,3011995,-125.02446746826172
1622568892.1450505,3013258,-125.72248840332031
1622568939.054553,3014702,-125.76806640625
1622568962.8117054,3015434,-125.21270751953125
1622569008.2900972,3016830,-125.42372131347656
1622569075.9426274,3018710,-125.38236999511719
1622569133.5948129,3020482,-124.63247680664062
1622569247.5255232,3023987,-125.37369537353516
1622569426.7063851,3029327,-125.87393188476562
1622569465.8250182,3030540,-125.04178619384766
1622569644.163199,3035833,-125.17203521728516
1622569826.0367582,3041225,-125.37371826171875
1622569896.3974028,3043391,-125.76787567138672
1622569988.154772,3046030,-125.04420471191406
1622570084.892421,3049015,-124.66058349609375
1622570492.0530767,3061354,-124.25422668457031
1622570634.457808,3065550,-124.25753021240234
1622570709.7052956,3067873,-123.90519714355469
1622570855.557242,3072163,-124.1524887084961
1622571073.8508205,3078897,-124.9083023071289
1622571757.8087256,3099354,-125.64598083496094
1622571768.7688856,3099693,-125.55474853515625
1622571828.4572513,3101535,-124.84169006347656
1622571899.2896569,3103719,-125.75750732421875
1622571977.3319664,3106119,-124.6009292602539
1622571996.4243486,3106706,-125.20181274414062
1622572233.4296427,3113819,-124.46668243408203
1622572389.3325853,3118422,-124.62120819091797
